primary_type,id,case_number,date,block,iucr,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
BATTERY,13236459,JG455152,2023-10-07T22:15:00.000,019XX W MADISON ST,0460,SIMPLE,SPORTS ARENA / STADIUM,False,False,1223,012,27,28,08B,1163655,1900042,2023,2023-10-15T15:42:41.000,41.881348623,-87.674525788,"{'latitude': '41.881348623', 'longitude': '-87.674525788', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,21184,29,90,46,28,15,75,27
BATTERY,13236368,JG455093,2023-10-07T22:08:00.000,038XX N LAKEWOOD AVE,0486,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1923,019,44,6,08B,1166941,1925718,2023,2023-10-15T15:42:41.000,41.951735245,-87.661721474,"{'latitude': '41.951735245', 'longitude': '-87.661721474', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",38,21186,57,725,25,53,5,12,44
ASSAULT,13236435,JG455125,2023-10-07T22:02:00.000,031XX W MADISON ST,0560,SIMPLE,APARTMENT,False,False,1124,011,28,27,08A,1155522,1899851,2023,2023-10-15T15:42:41.000,41.880991939,-87.704394994,"{'latitude': '41.880991939', 'longitude': '-87.704394994', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,21184,28,737,23,28,16,123,28
BATTERY,13236381,JG455104,2023-10-07T21:55:00.000,002XX S STATE ST,0440,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA PLATFORM,True,False,0113,001,34,32,08B,1176417,1899156,2023,2023-10-15T15:42:41.000,41.878638996,-87.627691486,"{'latitude': '41.878638996', 'longitude': '-87.627691486', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,14912,38,92,36,29,22,126,34
ASSAULT,13236336,JG455087,2023-10-07T21:45:00.000,054XX S PRAIRIE AVE,051A,AGGRAVATED - HANDGUN,STREET,False,True,0231,002,3,40,04A,1178970,1868838,2023,2023-10-15T15:42:41.000,41.79538622,-87.619242975,"{'latitude': '41.79538622', 'longitude': '-87.619242975', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,21192,7,401,9,10,24,125,8
BATTERY,13236367,JG455094,2023-10-07T21:42:00.000,004XX N CLARK ST,0430,AGGRAVATED - OTHER DANGEROUS WEAPON,RESTAURANT,True,False,1831,018,42,8,04B,1175462,1903222,2023,2023-10-15T15:42:41.000,41.889817826,-87.631075842,"{'latitude': '41.889817826', 'longitude': '-87.631075842', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,4446,37,670,36,55,14,73,42
BATTERY,13236317,JG455049,2023-10-07T21:00:00.000,067XX S PARNELL AVE,041A,AGGRAVATED - HANDGUN,STREET,False,False,0722,007,6,68,04B,1173730,1860281,2023,2023-10-15T15:42:41.000,41.772022709,-87.638711569,"{'latitude': '41.772022709', 'longitude': '-87.638711569', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21559,66,479,32,11,17,201,4
BATTERY,13236556,JG455336,2023-10-07T21:00:00.000,003XX W SWANN ST,0460,SIMPLE,RESIDENCE,False,False,0925,009,3,37,08B,1174927,1874072,2023,2023-10-15T15:42:41.000,41.809840032,-87.633912482,"{'latitude': '41.809840032', 'longitude': '-87.633912482', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,14924,3,189,9,37,23,106,8
ASSAULT,13236366,JG455047,2023-10-07T20:43:00.000,030XX S KARLOV AVE,051A,AGGRAVATED - HANDGUN,STREET,False,False,1031,010,22,30,04A,1149530,1884087,2023,2023-10-15T15:42:41.000,41.837851998,-87.726806285,"{'latitude': '41.837851998', 'longitude': '-87.726806285', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14,21569,32,248,28,57,21,167,22
BATTERY,13236361,JG455092,2023-10-07T20:30:00.000,090XX S LOWE AVE,0486,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2223,022,21,71,08B,1173561,1844802,2023,2023-10-15T15:42:41.000,41.729550123,-87.639788445,"{'latitude': '41.729550123', 'longitude': '-87.639788445', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21554,70,608,13,59,9,243,21
